ID,degr_class,orig_species,canopy_width,canopy_length,height,species,plot_size,bsd,yc,yc_lc,yc_uc,area,vol
PV26,Intact,C.perforata,44,53,42,C.perforata,5,None,0.04676654895276636,0.06527830791323637,0.14614546547739488,0.18474528298516477,0.07759301885376921
PV26,Intact,P.pyracantha,74,121,146,P.pyracantha,5,None,1.3144460015714536,0.7119915841845373,10.406030845774007,0.7466191290796993,1.090063928456361
PV26,Intact,C.ovata,18,33,59,C.ovata,5,None,0.03348360297378261,0.014649076301029892,0.3243724038085191,0.051070515574919075,0.030131604189202254
PV26,Intact,P.afra,171,187,170,P.afra,5,None,3.772593681127227,2.986636664225722,20.8278609478899,2.516494255341764,4.278040234080999
PV26,Intact,P.afra,91,102,145,P.afra,5,None,1.016837653667987,0.8049964758204897,5.613791212958678,0.7313824047097888,1.0605044868291937
PV26,Intact,P.afra,136,230,228,P.afra,5,None,5.1822833315273265,4.102640970792467,28.610522559473782,2.6302199094017147,5.996901393435909
PV26,Intact,G.robusta,143,186,190,G.robusta,5,None,1.9347135131007671,2.2571657652842285,7.174562611082012,2.12530706510758,4.038083423704402
PV26,Intact,P.pyracantha,84,95,155,P.pyracantha,5,None,1.2212627183479507,0.6615173057718067,9.668329853587943,0.629123563835441,0.9751415239449336
PV26,Intact,P.afra,158,197,197,P.afra,5,None,4.265260032236745,3.3766641921874236,23.54778976130703,2.4744950885540855,4.874755324451548
PV26,Intact,E.mauritanica,81,114,142,E.mauritanica,5,None,0.22931812118735925,0.16243366917437949,1.4093509531306456,0.7466191290796993,1.060199163293173
PV26,Intact,P.pyracantha,95,125,149,P.pyracantha,5,None,1.562158346936006,0.8461691045903367,12.367086913243382,0.9503317777109125,1.4159943487892594
PV26,Intact,P.pyracantha,88,95,100,P.pyracantha,5,None,0.9415851842176698,0.5100253081179045,7.454216041723219,0.6575549773504287,0.6575549773504286
PV26,Intact,G.robusta,68,93,88,G.robusta,5,None,0.2890895590697175,0.3372711522480038,1.072040448216869,0.5089576448356314,0.4478827274553557
PV26,Intact,E.mauritanica,35,58,143,E.mauritanica,5,None,0.0972274130058676,0.06886941754582289,0.5975434757652279,0.16982271788061326,0.24284648656927696
PV26,Intact,G.robusta,79,103,135,G.robusta,5,None,0.4005580540138436,0.46731772968281754,1.48540278363467,0.6503882191094269,0.8780240957977263
PV26,Intact,P.afra,95,127,140,P.afra,5,None,1.2800351697249934,1.0133611760322865,7.066860832856735,0.967689077121996,1.3547647079707943
PV26,Intact,P.pyracantha,54,93,166,P.pyracantha,5,None,0.9852680454322975,0.5336868579424945,7.800038693005688,0.4242917228213865,0.7043242598835016
PV26,Intact,P.pyracantha,41,51,137,P.pyracantha,5,None,0.4675840456595219,0.2532746913989077,3.7017070281378817,0.16619025137490004,0.22768064438361307
