ID,Stratum,Size,N,Vol,VolHa,MaxVol,95%Vol,Height,HeightHa,MeanHeight,MaxHeight,95%Height,MeanArea,MaxArea,95%Area,Abc,AbcHa,LitterC,LitterCHa,AgcHa
PV14,Intact,10,77,251.95891148411366,25195.891148411367,37.34144426835989,18.40354091018588,8756.0,875600.0,113.71428571428571,446,290.6,1.5245139350232613,11.222083117888099,6.656206237894389,147.18822959986585,14718.822959986584,0.5530655585280799,5530.6555852808,20249.478545267382
PV15,Intact,10,80,235.87271420514028,23587.27142051403,28.19898592410444,13.051171542081207,10667.0,1066700.0,133.3375,406,243.25,1.5584847197097893,13.01004203686239,5.713458461198772,124.83444140598404,12483.444140598403,1.2576288,12576.288,25059.732140598404
PV16,Intact,10,101,278.80222831426215,27880.222831426217,29.89819799220747,12.917325783673322,13767.0,1376700.0,136.30693069306932,448,274.0,1.3225774582286844,10.178760197630929,5.874954976799677,215.35403957496922,21535.403957496925,1.3494671999999999,13494.671999999999,35030.07595749693
PV17,Intact,10,155,385.17779727930883,38517.77972793088,23.765419771260692,11.956426473673897,18856.0,1885600.0,121.65161290322581,450,346.89999999999975,1.1028991712645606,11.37101424462234,4.859156335178765,281.1160825419454,28111.60825419454,1.0744416,10744.416000000001,38856.02425419454
PV18,Intact,10,145,288.5702555102655,28857.025551026552,17.990704180307727,7.608606636557959,15912.0,1591200.0,109.73793103448276,304,217.0,1.2201352755515915,6.201582438002592,3.9550138234572603,214.4351064027911,21443.51064027911,0.7440623999999999,7440.623999999999,28884.13464027911
PV19,Intact,10,127,257.5957480712877,25759.574807128767,49.96434195203419,12.599591758938681,9291.0,929100.0,73.15748031496064,424,250.09999999999997,1.0991078346896643,19.517321075013356,5.414642930709473,230.83803573205182,23083.803573205183,0.5647241439062016,5647.241439062016,28731.045012267197
PV2,Intact,10,140,214.68731345982283,21468.73134598228,19.462540338514547,8.027996767981401,14715.0,1471500.0,105.10714285714286,303,209.0,0.9882954004354486,8.143322317370103,4.561061407504376,184.86523570465062,18486.523570465062,1.2374111999999997,12374.111999999997,30860.63557046506
PV20,Intact,10,74,200.86187046067258,20086.187046067258,18.837413665932633,12.570816900624287,8724.0,872400.0,117.89189189189189,434,235.5499999999998,1.543138371268525,9.456900745652336,6.364859843938991,162.35753678816374,16235.753678816376,1.1101727999999997,11101.727999999997,27337.481678816373
PV21,Intact,10,147,210.2327218054459,21023.27218054459,26.21447443885555,6.544558904454407,14772.0,1477200.0,100.48979591836735,284,195.89999999999992,0.8951523474587089,9.42966706433653,3.157320251811827,168.76807425019666,16876.807425019666,0.39686090275326746,3968.6090275326746,20845.41645255234
PV22,Intact,10,128,307.9759665975215,30797.596659752147,52.022927676015286,9.161354317208446,16021.0,1602100.0,125.1640625,395,247.59999999999997,1.1512404628599493,13.170361436965896,4.3813956871409845,216.79330638362057,21679.33063836206,0.4848687440559441,4848.687440559441,26528.0180789215
PV23,Intact,10,224,261.6684257315457,26166.842573154572,62.82052468503656,6.964525714479327,12051.0,1205100.0,53.799107142857146,356,213.0,0.6115225806191962,18.208847734793206,3.5072622574951926,167.78021928580273,16778.021928580274,1.1066535215901308,11066.535215901307,27844.55714448158
PV24,Intact,10,288,227.58944335983074,22758.944335983073,11.972957534217088,4.486647150272274,19747.0,1974700.0,68.56597222222223,304,174.0,0.576952331824059,7.84267190042156,2.7025747152047046,169.40414560967253,16940.414560967252,0.46064156930946293,4606.415693094629,21546.830254061882
PV25,Intact,10,110,296.74947916308264,29674.947916308265,45.125073469148965,11.673235232095688,11649.0,1164900.0,105.9,372,238.79999999999995,1.3635151145085378,12.130396093857248,5.478760873273832,188.810186092605,18881.0186092605,0.7770093208856297,7770.093208856297,26651.1118181168
PV26,Intact,10,135,255.02769713890785,25502.769713890786,21.970910435254126,6.580883412431918,17001.0,1700100.0,125.93333333333334,342,210.09999999999997,1.1361415660956893,6.537045628543726,3.5702315552455843,192.0131330804336,19201.313308043358,0.4448105172251404,4448.105172251404,23649.418480294764
PV27,Intact,10,258,370.8682607703799,37086.826077037986,15.090886730192338,6.414012672453292,25084.0,2508400.0,97.2248062015504,442,253.29999999999995,0.8240104528144218,6.091724869897373,3.0739374740470287,281.792806072406,28179.280607240602,0.5132740575076958,5132.7405750769585,33312.02118231756
PV3,Intact,10,130,418.36361209688806,41836.3612096888,29.512360934262354,12.167731811787599,19639.0,1963900.0,151.06923076923076,404,304.55,1.539321495396744,9.676183912872903,5.9223851718872496,320.90948371704246,32090.948371704246,1.3730543999999998,13730.543999999998,45821.49237170424
PV4,Intact,10,191,221.26422962978188,22126.422962978188,27.534884456712554,4.792833289095903,15486.0,1548600.0,81.07853403141361,335,172.5,0.8387095309574115,8.372521136403563,3.29400898467411,178.99800615868958,17899.800615868957,0.6245952,6245.952,24145.752615868958
PV5,Intact,10,84,341.3505290871266,34135.052908712656,80.19858413307416,12.402930483740786,12135.0,1213500.0,144.46428571428572,435,289.25,1.8609887931986773,18.436456122545785,5.962193077799046,297.22481853681865,29722.481853681864,0.7760204205804923,7760.204205804923,37482.68605948679
PV6,Intact,10,137,340.60667848657295,34060.66784865729,56.67085294229418,10.241559378139115,14951.0,1495100.0,109.13138686131387,411,263.9999999999999,1.2042160336541197,15.692962163028074,4.40959049945925,242.4038897564365,24240.38897564365,1.1793888000000001,11793.888,36034.276975643654
PV7,Intact,10,56,149.3799328935871,14937.993289358708,18.493534934070695,12.958702129717427,6047.0,604700.0,107.98214285714286,323,291.25,1.6159265675107621,8.656972716232033,5.7415011026228875,119.46720146679102,11946.720146679103,0.5291999999999999,5291.999999999999,17238.7201466791
PV8,Intact,10,44,171.10869957727866,17110.869957727868,36.658689987286394,18.106249601912268,5270.0,527000.0,119.77272727272727,267,220.00000000000003,2.236336482972503,16.438874433760713,7.506478289588465,125.9135248911049,12591.35248911049,0.8196816,8196.816,20788.16848911049
PV9,Intact,10,146,274.13175976449924,27413.175976449922,27.21574282175452,9.513771426663943,19616.0,1961600.0,134.35616438356163,361,254.5,0.9578643378362363,11.581167158193413,3.8273041550980205,282.17980388415367,28217.980388415366,1.0632240000000002,10632.240000000002,38850.22038841537
SS1,Severe,20,38,220.52407413123743,5513.101853280936,35.62142857370478,26.805014728865466,4544.0,113600.0,119.57894736842105,334,312.6,2.4132138801456815,10.665098375360714,9.183523279927767,147.50600587291456,3687.6501468228644,0.0537648,537.648,4225.2981468228645
SS10,Severe,20,320,515.0762124549087,12876.905311372719,110.20374255591163,4.4650103046261425,14562.0,364050.0,45.50625,588,181.75000000000017,0.9800703882941046,19.634954084936208,3.45799324895757,289.5913727709689,7239.784319274223,0.0906288,906.288,8146.0723192742225
SS11,Severe,20,412,340.9066061408616,8522.665153521539,164.2607605652889,0.6493075112365919,12733.0,318325.0,30.905339805825243,462,67.89999999999998,0.5443994518237745,42.77623973054398,1.5836768566746147,344.90627831633503,8622.656957908377,0.1220736,1220.736,9843.392957908378
SS12,Severe,20,828,312.5139881535531,7812.849703838828,43.410026203275514,1.663286699472172,31853.0,796325.0,38.46980676328502,355,143.0,0.42222670900898274,13.234764086364486,1.4134378777674002,272.13903361711004,6803.475840427751,0.021743999999999996,217.43999999999997,7020.9158404277505
